index,split,image,label,action,timestamp
10,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/00213_jpg.rf.a4169c57f4f37ec07fd9a5f11cd1aa9f.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/00213_jpg.rf.a4169c57f4f37ec07fd9a5f11cd1aa9f.txt,reject_move,2026-01-02T16:51:22.640352
11,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/00213_jpg.rf.ac09b26f0fe63635fe42af94be9f51b7.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/00213_jpg.rf.ac09b26f0fe63635fe42af94be9f51b7.txt,reject_move,2026-01-02T16:51:24.279914
12,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/00630238_jpg.rf.07f695ebe736f64b70acf891fba03ffb.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/00630238_jpg.rf.07f695ebe736f64b70acf891fba03ffb.txt,reject_move,2026-01-02T16:51:26.543611
13,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/011046-Mooneyes-60-psi-Oil-Pressure-Gauge-2_2000x_jpg.rf.089f63169d4a98b25c670d2bf296d419.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/011046-Mooneyes-60-psi-Oil-Pressure-Gauge-2_2000x_jpg.rf.089f63169d4a98b25c670d2bf296d419.txt,reject_move,2026-01-02T16:51:29.271707
14,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/01ac1c50-d0a6-11ed-b077-2089845231c1_jpeg-jpg-5dhbkd8g-ingestion-585c5dcfbb-qz9dm_jpg.rf.f88f64bbbd249a55e161add0bbf68643.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/01ac1c50-d0a6-11ed-b077-2089845231c1_jpeg-jpg-5dhbkd8g-ingestion-585c5dcfbb-qz9dm_jpg.rf.f88f64bbbd249a55e161add0bbf68643.txt,keep,2026-01-02T16:51:31.344392
15,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/078702c6-d0a5-11ed-864f-2089845231c1_jpeg-jpg-5dhbkdmg-ingestion-585c5dcfbb-ltlqg_jpg.rf.6155414039704bff2322e73bf92838e3.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/078702c6-d0a5-11ed-864f-2089845231c1_jpeg-jpg-5dhbkdmg-ingestion-585c5dcfbb-ltlqg_jpg.rf.6155414039704bff2322e73bf92838e3.txt,reject_move,2026-01-02T16:51:35.671893
16,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/0901d19680918683-OIL0147V2_NG-PGauges_tcm_12-497626_png_jpg.rf.3ddf466b32d539bab0d1c408eb5bbd5d.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/0901d19680918683-OIL0147V2_NG-PGauges_tcm_12-497626_png_jpg.rf.3ddf466b32d539bab0d1c408eb5bbd5d.txt,keep,2026-01-02T16:51:41.536273
17,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/0_PNG_jpg.rf.a7b6e2241c590a4cc94d263c4ff8a355.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/0_PNG_jpg.rf.a7b6e2241c590a4cc94d263c4ff8a355.txt,keep,2026-01-02T16:51:46.999612
18,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/0fa016d9ff6a40a5a4e38fd6437c9542_jpeg_jpg.rf.6639fb23123ef7dde6856dca73b18f78.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/0fa016d9ff6a40a5a4e38fd6437c9542_jpeg_jpg.rf.6639fb23123ef7dde6856dca73b18f78.txt,keep,2026-01-02T16:51:48.255440
19,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/0fa016d9ff6a40a5a4e38fd6437c9542_jpeg_jpg.rf.8a8a41ffccad0df36e4d9af412900dd6.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/0fa016d9ff6a40a5a4e38fd6437c9542_jpeg_jpg.rf.8a8a41ffccad0df36e4d9af412900dd6.txt,keep,2026-01-02T16:51:49.719594
20,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/1-11-00-14HTC11CT502-2-jpg-5dhbkejv-ingestion-585c5dcfbb-qz9dm_jpg.rf.aaa038828dd35384f9cb92394901f307.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/1-11-00-14HTC11CT502-2-jpg-5dhbkejv-ingestion-585c5dcfbb-qz9dm_jpg.rf.aaa038828dd35384f9cb92394901f307.txt,keep,2026-01-02T16:51:50.736225
21,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/1-11-00-14HTC11CT502-2-jpg-5dhbkepg-ingestion-585c5dcfbb-ltlqg_jpg.rf.3ebaa6afb0fb00ec0c93626ee2d0ba75.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/1-11-00-14HTC11CT502-2-jpg-5dhbkepg-ingestion-585c5dcfbb-ltlqg_jpg.rf.3ebaa6afb0fb00ec0c93626ee2d0ba75.txt,keep,2026-01-02T16:51:51.592265
22,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/1-11-00-14HTG11CP511-2-jpg-5dhbkfn5-ingestion-585c5dcfbb-tbfh5_jpg.rf.955e79611a3c3a1bcd53284fd8d4cd27.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/1-11-00-14HTG11CP511-2-jpg-5dhbkfn5-ingestion-585c5dcfbb-tbfh5_jpg.rf.955e79611a3c3a1bcd53284fd8d4cd27.txt,reject_move,2026-01-02T16:51:53.704265
23,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/1-14-00-14HCB02CT001-2-jpg-5dhbkgqj-ingestion-585c5dcfbb-qz9dm_jpg.rf.34be97f01debe1353c97e814b432fa37.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/1-14-00-14HCB02CT001-2-jpg-5dhbkgqj-ingestion-585c5dcfbb-qz9dm_jpg.rf.34be97f01debe1353c97e814b432fa37.txt,keep,2026-01-02T16:51:56.383194
24,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/1-14HTC11CT501_17-00-jpg-5dhbkhqo-ingestion-585c5dcfbb-qz9dm_jpg.rf.f377c1705b5f3279f7eebfeaee154da2.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/1-14HTC11CT501_17-00-jpg-5dhbkhqo-ingestion-585c5dcfbb-qz9dm_jpg.rf.f377c1705b5f3279f7eebfeaee154da2.txt,keep,2026-01-02T16:52:05.943624
25,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/1-15-00-14HTC11CT502-1-jpg-5dhbkin5-ingestion-585c5dcfbb-ltlqg_jpg.rf.696b163afc42aea3dbd3adf1898d6794.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/1-15-00-14HTC11CT502-1-jpg-5dhbkin5-ingestion-585c5dcfbb-ltlqg_jpg.rf.696b163afc42aea3dbd3adf1898d6794.txt,keep,2026-01-02T16:52:06.999930
26,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/10-09-00-14HTD24CP502-2-jpg-5dhbklc0-ingestion-585c5dcfbb-qz9dm_jpg.rf.ee013e2ce58d91050bfb660a962e2fd8.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/10-09-00-14HTD24CP502-2-jpg-5dhbklc0-ingestion-585c5dcfbb-qz9dm_jpg.rf.ee013e2ce58d91050bfb660a962e2fd8.txt,keep,2026-01-02T16:52:10.207172
27,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/10-14HLB10CT501-2-2-jpg-5dhbktvb-ingestion-585c5dcfbb-tbfh5_jpg.rf.0af9fc56f6574c3db2134fb981e4361d.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/10-14HLB10CT501-2-2-jpg-5dhbktvb-ingestion-585c5dcfbb-tbfh5_jpg.rf.0af9fc56f6574c3db2134fb981e4361d.txt,keep,2026-01-02T16:52:11.487736
28,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/10-14HTQ51CP502_23-00-jpg-5dhbkud7-ingestion-585c5dcfbb-ltlqg_jpg.rf.2b0e6d78355d8e805dd522cce0f3ff49.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/10-14HTQ51CP502_23-00-jpg-5dhbkud7-ingestion-585c5dcfbb-ltlqg_jpg.rf.2b0e6d78355d8e805dd522cce0f3ff49.txt,keep,2026-01-02T16:52:14.943256
29,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/10-15-00-14HLB10CT501-2-jpg-5dhbkurd-ingestion-585c5dcfbb-tbfh5_jpg.rf.72f37aa19e347c1959da4d462002e4d3.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/10-15-00-14HLB10CT501-2-jpg-5dhbkurd-ingestion-585c5dcfbb-tbfh5_jpg.rf.72f37aa19e347c1959da4d462002e4d3.txt,reject_move,2026-01-02T16:52:20.870805
30,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/10-15-00-14HTD24CP502-1-jpg-5dhbkukj-ingestion-585c5dcfbb-ltlqg_jpg.rf.19069871a26223b5fc62d835d8226090.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/10-15-00-14HTD24CP502-1-jpg-5dhbkukj-ingestion-585c5dcfbb-ltlqg_jpg.rf.19069871a26223b5fc62d835d8226090.txt,reject_move,2026-01-02T16:52:22.774757
31,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/100048264_HR_jpg.rf.0029e111cd8820c22a0ddedd8fea53c9.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/100048264_HR_jpg.rf.0029e111cd8820c22a0ddedd8fea53c9.txt,reject_move,2026-01-02T16:52:24.495322
32,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/1000PSI70Bar2-5PMDryGauge_L_jpg.rf.fdec40eceba577339ad096b927e4029c.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/1000PSI70Bar2-5PMDryGauge_L_jpg.rf.fdec40eceba577339ad096b927e4029c.txt,reject_move,2026-01-02T16:52:25.958771
33,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/1000_F_435055852_gfy6eknJKErk50GLVZvoIqNV7TFnCD5j_jpg.rf.8008eaa6b86ae8c92ddb68cc3ab3704b.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/1000_F_435055852_gfy6eknJKErk50GLVZvoIqNV7TFnCD5j_jpg.rf.8008eaa6b86ae8c92ddb68cc3ab3704b.txt,reject_move,2026-01-02T16:52:29.575557
34,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/1008S1-360_jpg.rf.cbae0c49fffdfbbecbce3ce6725f86f2.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/1008S1-360_jpg.rf.cbae0c49fffdfbbecbce3ce6725f86f2.txt,reject_move,2026-01-02T16:52:30.735605
35,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/11-14HLB10CP505_1-jpg-5dhbl19c-ingestion-585c5dcfbb-ltlqg_jpg.rf.11e4a14798f9f5678f1bc63f6d09fa60.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/11-14HLB10CP505_1-jpg-5dhbl19c-ingestion-585c5dcfbb-ltlqg_jpg.rf.11e4a14798f9f5678f1bc63f6d09fa60.txt,reject_move,2026-01-02T16:52:32.182808
36,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/11-14HLB10CP505_2-jpg-5dhbl199-ingestion-585c5dcfbb-qz9dm_jpg.rf.652f62707f49be3c06ad10b5b0b083d0.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/11-14HLB10CP505_2-jpg-5dhbl199-ingestion-585c5dcfbb-qz9dm_jpg.rf.652f62707f49be3c06ad10b5b0b083d0.txt,keep,2026-01-02T16:52:33.183181
37,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/11-14HTQ52CP502_23-00-jpg-5dhbl121-ingestion-585c5dcfbb-tbfh5_jpg.rf.eeca357304bd079753887d26174dddf2.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/11-14HTQ52CP502_23-00-jpg-5dhbl121-ingestion-585c5dcfbb-tbfh5_jpg.rf.eeca357304bd079753887d26174dddf2.txt,keep,2026-01-02T16:52:45.022447
38,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/11-15-00-14PGT41CT502-1-jpg-5dhbl1n6-ingestion-585c5dcfbb-tbfh5_jpg.rf.ec92edeaa4436ab42ac770034a38a6f6.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/11-15-00-14PGT41CT502-1-jpg-5dhbl1n6-ingestion-585c5dcfbb-tbfh5_jpg.rf.ec92edeaa4436ab42ac770034a38a6f6.txt,keep,2026-01-02T16:52:45.887300
39,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/12-09-00-14PGT42CT501-2-jpg-5dhbl2qn-ingestion-585c5dcfbb-qz9dm_jpg.rf.c07e9341f3ab942f04687b85f88f8098.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/12-09-00-14PGT42CT501-2-jpg-5dhbl2qn-ingestion-585c5dcfbb-qz9dm_jpg.rf.c07e9341f3ab942f04687b85f88f8098.txt,keep,2026-01-02T16:52:46.870832
40,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/13-09-00-14HTM54CP502-1-jpg-5dhbl31s-ingestion-585c5dcfbb-tbfh5_jpg.rf.488b97b8966456af38ab9ec487e7b875.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/13-09-00-14HTM54CP502-1-jpg-5dhbl31s-ingestion-585c5dcfbb-tbfh5_jpg.rf.488b97b8966456af38ab9ec487e7b875.txt,reject_move,2026-01-02T16:52:47.854469
41,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/13-13-00-14PGT42CT502-1-jpg-5dhbl5m9-ingestion-585c5dcfbb-ltlqg_jpg.rf.05a53dde45b84c93b8fe73f66b3e209b.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/13-13-00-14PGT42CT502-1-jpg-5dhbl5m9-ingestion-585c5dcfbb-ltlqg_jpg.rf.05a53dde45b84c93b8fe73f66b3e209b.txt,keep,2026-01-02T16:52:54.006988
42,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/14-09-00-14LAB12CP510-1-jpg-5dhbl6j1-ingestion-585c5dcfbb-qz9dm_jpg.rf.413527e9a6b1eacb51e0ba9c047d5f79.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/14-09-00-14LAB12CP510-1-jpg-5dhbl6j1-ingestion-585c5dcfbb-qz9dm_jpg.rf.413527e9a6b1eacb51e0ba9c047d5f79.txt,reject_move,2026-01-02T16:52:57.246324
43,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/14-13-00-14HLB20CT501-2-jpg-5dhbl9l7-ingestion-585c5dcfbb-tbfh5_jpg.rf.b086db4fc3302806005ec94c5f1a72ee.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/14-13-00-14HLB20CT501-2-jpg-5dhbl9l7-ingestion-585c5dcfbb-tbfh5_jpg.rf.b086db4fc3302806005ec94c5f1a72ee.txt,keep,2026-01-02T16:52:58.591136
44,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/14-13-00-14LAB12CP510-2-jpg-5dhblchh-ingestion-585c5dcfbb-qz9dm_jpg.rf.8d9f52d6c38434cc4fd3f9fd3f725653.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/14-13-00-14LAB12CP510-2-jpg-5dhblchh-ingestion-585c5dcfbb-qz9dm_jpg.rf.8d9f52d6c38434cc4fd3f9fd3f725653.txt,reject_move,2026-01-02T16:53:01.054758
45,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/14-14HTC12CP502_17-00-jpg-5dhblbvu-ingestion-585c5dcfbb-ltlqg_jpg.rf.da11d1143e2a323fc60924b2154fb070.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/14-14HTC12CP502_17-00-jpg-5dhblbvu-ingestion-585c5dcfbb-ltlqg_jpg.rf.da11d1143e2a323fc60924b2154fb070.txt,keep,2026-01-02T16:53:01.934429
46,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/14-15-00-14HTD21CP512-2-jpg-5dhblhcr-ingestion-585c5dcfbb-tbfh5_jpg.rf.ce83eeef8e32738bdc5407091dce6863.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/14-15-00-14HTD21CP512-2-jpg-5dhblhcr-ingestion-585c5dcfbb-tbfh5_jpg.rf.ce83eeef8e32738bdc5407091dce6863.txt,keep,2026-01-02T16:53:03.206497
47,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/140_PNG-jpg-5dhbljjf-ingestion-585c5dcfbb-ltlqg_jpg.rf.bbfc55c7ab8845f71a7bc5e1daeb25a2.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/140_PNG-jpg-5dhbljjf-ingestion-585c5dcfbb-ltlqg_jpg.rf.bbfc55c7ab8845f71a7bc5e1daeb25a2.txt,keep,2026-01-02T16:53:05.158387
48,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/140_PNG_jpg.rf.05795168bfeac6de19b3830c88ad444a.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/140_PNG_jpg.rf.05795168bfeac6de19b3830c88ad444a.txt,keep,2026-01-02T16:53:05.990337
49,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/144_PNG_jpg.rf.b199b419a670f9254efff18e1d9a4037.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/144_PNG_jpg.rf.b199b419a670f9254efff18e1d9a4037.txt,keep,2026-01-02T16:53:06.967146
50,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/144_PNG_jpg.rf.f1cdfb3a31e14bccb327112a404ee3fe.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/144_PNG_jpg.rf.f1cdfb3a31e14bccb327112a404ee3fe.txt,keep,2026-01-02T16:53:09.302570
51,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/15-15-00-14PGT43CT502-2-jpg-5dhblmm6-ingestion-585c5dcfbb-qz9dm_jpg.rf.3386aedf041ec08fb7e7bf9b9386485f.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/15-15-00-14PGT43CT502-2-jpg-5dhblmm6-ingestion-585c5dcfbb-qz9dm_jpg.rf.3386aedf041ec08fb7e7bf9b9386485f.txt,reject_move,2026-01-02T16:53:10.390102
52,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/157_PNG_jpg.rf.eb0a5d69f60154d28f814f53ab87335e.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/157_PNG_jpg.rf.eb0a5d69f60154d28f814f53ab87335e.txt,keep,2026-01-02T16:53:11.494475
53,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/images/16-13-00-14HTD22CP512-1-jpg-5dhblpou-ingestion-585c5dcfbb-ltlqg_jpg.rf.1fbc0c594feaf6ca361eccb5801dab07.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/test/labels/16-13-00-14HTD22CP512-1-jpg-5dhblpou-ingestion-585c5dcfbb-ltlqg_jpg.rf.1fbc0c594feaf6ca361eccb5801dab07.txt,keep,2026-01-02T16:53:16.494717
54,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/1657519675023_jpg.rf.089e7d28cdfca4d00698c2dc21b8dcd3.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/1657519675023_jpg.rf.089e7d28cdfca4d00698c2dc21b8dcd3.txt,reject_move,2026-01-02T16:53:18.870062
55,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/1657519684047251_jpg.rf.3e973b9dc01adae51484bbe90194dbcd.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/1657519684047251_jpg.rf.3e973b9dc01adae51484bbe90194dbcd.txt,reject_move,2026-01-02T16:53:36.342192
56,test,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/images/16_jpeg_jpg.rf.1bac07bdcf1ed2588e0f4d7c03c4a546.jpg,/home/itemhsu/amtk/gaugeReader/yolo_dataset_1c4p_9k5p1/rejected/test/labels/16_jpeg_jpg.rf.1bac07bdcf1ed2588e0f4d7c03c4a546.txt,reject_move,2026-01-02T16:53:38.629755
